years,component,description,docs_url,data_url
1999-2000,Dietary,Dietary Interview - Individual Foods,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DRXIFF.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DRXIFF.xpt
2001-2002,Dietary,Dietary Interview - Individual Foods,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DRXIFF_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DRXIFF_B.xpt
2003-2004,Dietary,"Dietary Interview - Individual Foods, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DR1IFF_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DR1IFF_C.xpt
2009-2010,Dietary,"Dietary Interview - Individual Foods, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DR1IFF_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DR1IFF_F.xpt
2007-2008,Dietary,"Dietary Interview - Individual Foods, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DR1IFF_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DR1IFF_E.xpt
2011-2012,Dietary,"Dietary Interview - Individual Foods, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DR1IFF_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DR1IFF_G.xpt
2005-2006,Dietary,"Dietary Interview - Individual Foods, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DR1IFF_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DR1IFF_D.xpt
2013-2014,Dietary,"Dietary Interview - Individual Foods, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DR1IFF_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DR1IFF_H.xpt
2015-2016,Dietary,"Dietary Interview - Individual Foods, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DR1IFF_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DR1IFF_I.xpt
2017-2018,Dietary,"Dietary Interview - Individual Foods, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DR1IFF_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DR1IFF_J.xpt
2017-2020,Dietary,"Dietary Interview - Individual Foods, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DR1IFF.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DR1IFF.xpt
2003-2004,Dietary,"Dietary Interview - Individual Foods, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DR2IFF_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DR2IFF_C.xpt
2009-2010,Dietary,"Dietary Interview - Individual Foods, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DR2IFF_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DR2IFF_F.xpt
2007-2008,Dietary,"Dietary Interview - Individual Foods, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DR2IFF_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DR2IFF_E.xpt
2011-2012,Dietary,"Dietary Interview - Individual Foods, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DR2IFF_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DR2IFF_G.xpt
2005-2006,Dietary,"Dietary Interview - Individual Foods, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DR2IFF_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DR2IFF_D.xpt
2013-2014,Dietary,"Dietary Interview - Individual Foods, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DR2IFF_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DR2IFF_H.xpt
2015-2016,Dietary,"Dietary Interview - Individual Foods, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DR2IFF_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DR2IFF_I.xpt
2017-2018,Dietary,"Dietary Interview - Individual Foods, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DR2IFF_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DR2IFF_J.xpt
2017-2020,Dietary,"Dietary Interview - Individual Foods, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DR2IFF.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DR2IFF.xpt
1999-2000,Dietary,Dietary Interview - Total Nutrient Intakes,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DRXTOT.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DRXTOT.xpt
2001-2002,Dietary,Dietary Interview - Total Nutrient Intakes,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DRXTOT_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DRXTOT_B.xpt
2003-2004,Dietary,"Dietary Interview - Total Nutrient Intakes, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DR1TOT_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DR1TOT_C.xpt
2009-2010,Dietary,"Dietary Interview - Total Nutrient Intakes, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DR1TOT_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DR1TOT_F.xpt
2007-2008,Dietary,"Dietary Interview - Total Nutrient Intakes, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DR1TOT_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DR1TOT_E.xpt
2011-2012,Dietary,"Dietary Interview - Total Nutrient Intakes, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DR1TOT_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DR1TOT_G.xpt
2005-2006,Dietary,"Dietary Interview - Total Nutrient Intakes, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DR1TOT_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DR1TOT_D.xpt
2013-2014,Dietary,"Dietary Interview - Total Nutrient Intakes, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DR1TOT_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DR1TOT_H.xpt
2015-2016,Dietary,"Dietary Interview - Total Nutrient Intakes, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DR1TOT_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DR1TOT_I.xpt
2017-2018,Dietary,"Dietary Interview - Total Nutrient Intakes, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DR1TOT_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DR1TOT_J.xpt
2017-2020,Dietary,"Dietary Interview - Total Nutrient Intakes, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DR1TOT.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DR1TOT.xpt
2003-2004,Dietary,"Dietary Interview - Total Nutrient Intakes, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DR2TOT_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DR2TOT_C.xpt
2009-2010,Dietary,"Dietary Interview - Total Nutrient Intakes, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DR2TOT_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DR2TOT_F.xpt
2007-2008,Dietary,"Dietary Interview - Total Nutrient Intakes, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DR2TOT_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DR2TOT_E.xpt
2011-2012,Dietary,"Dietary Interview - Total Nutrient Intakes, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DR2TOT_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DR2TOT_G.xpt
2005-2006,Dietary,"Dietary Interview - Total Nutrient Intakes, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DR2TOT_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DR2TOT_D.xpt
2013-2014,Dietary,"Dietary Interview - Total Nutrient Intakes, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DR2TOT_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DR2TOT_H.xpt
2015-2016,Dietary,"Dietary Interview - Total Nutrient Intakes, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DR2TOT_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DR2TOT_I.xpt
2017-2018,Dietary,"Dietary Interview - Total Nutrient Intakes, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DR2TOT_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DR2TOT_J.xpt
2017-2020,Dietary,"Dietary Interview - Total Nutrient Intakes, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DR2TOT.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DR2TOT.xpt
1999-2000,Dietary,Dietary Interview Technical Support File - Food Code Format File,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DRXFMT.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DRXFMT.xpt
2001-2002,Dietary,Dietary Interview Technical Support File - Food Code Format File,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DRXFMT_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DRXFMT_B.xpt
2003-2004,Dietary,Dietary Interview Technical Support File - Food Codes,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DRXFCD_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DRXFCD_C.xpt
2009-2010,Dietary,Dietary Interview Technical Support File - Food Codes,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DRXFCD_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DRXFCD_F.xpt
2007-2008,Dietary,Dietary Interview Technical Support File - Food Codes,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DRXFCD_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DRXFCD_E.xpt
2011-2012,Dietary,Dietary Interview Technical Support File - Food Codes,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DRXFCD_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DRXFCD_G.xpt
2005-2006,Dietary,Dietary Interview Technical Support File - Food Codes,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DRXFCD_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DRXFCD_D.xpt
2013-2014,Dietary,Dietary Interview Technical Support File - Food Codes,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DRXFCD_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DRXFCD_H.xpt
2015-2016,Dietary,Dietary Interview Technical Support File - Food Codes,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DRXFCD_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DRXFCD_I.xpt
2017-2018,Dietary,Dietary Interview Technical Support File - Food Codes,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DRXFCD_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DRXFCD_J.xpt
2017-2020,Dietary,Dietary Interview Technical Support File - Food Codes,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DRXFCD.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DRXFCD.xpt
2009-2010,Dietary,Dietary Interview Technical Support File - Modification Codes,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DRXMCD_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DRXMCD_F.xpt
2007-2008,Dietary,Dietary Interview Technical Support File - Modification Codes,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DRXMCD_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DRXMCD_E.xpt
2011-2012,Dietary,Dietary Interview Technical Support File - Modification Codes,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DRXMCD_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DRXMCD_G.xpt
2005-2006,Dietary,Dietary Interview Technical Support File - Modification Codes,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DRXMCD_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DRXMCD_D.xpt
2003-2004,Dietary,Dietary Interview Technical Support File - Modification Codes,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DRXMCD_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DRXMCD_C.xpt
2009-2010,Dietary,Dietary Screener Questionnaire,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DTQ_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DTQ_F.xpt
1999-2020,Dietary,Dietary Supplement Database - Blend Information,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSBI.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSBI.xpt
1999-2020,Dietary,Dietary Supplement Database - Ingredient Information,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSII.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSII.xpt
1999-2020,Dietary,Dietary Supplement Database - Product Information,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSPI.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSPI.xpt
2009-2010,Dietary,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DS1IDS_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DS1IDS_F.xpt
